Id,SalePrice
1461,125279.06
1462,155953.19
1463,175780.3
1464,186204.78
1465,209729.62
1466,179672.22
1467,150353.03
1468,164089.5
1469,175788.25
1470,120830.93
1471,189008.44
1472,96513.555
1473,92635.02
1474,141704.0
1475,118284.37
1476,421372.34
1477,249196.67
1478,289432.72
1479,320157.28
1480,550586.75
1481,344164.72
1482,218950.58
1483,179149.38
1484,160233.88
1485,166804.42
1486,198148.56
1487,439653.44
1488,257133.9
1489,196528.97
1490,219038.88
1491,194082.34
1492,100643.51
1493,187576.28
1494,299681.56
1495,278566.25
1496,220864.22
1497,178528.52
1498,157305.36
1499,153407.12
1500,151796.22
1501,166317.55
1502,134017.53
1503,278213.66
1504,230318.69
1505,215091.1
1506,169486.44
1507,251692.53
1508,194934.67
1509,161284.3
1510,138135.4
1511,145491.75
1512,168054.75
1513,149542.0
1514,136561.84
1515,230779.9
1516,145634.0
1517,154112.8
1518,124428.76
1519,182244.95
1520,127981.45
1521,135391.84
1522,179559.3
1523,118683.0
1524,129112.375
1525,127528.305
1526,114215.56
1527,107075.3
1528,130148.56
1529,137974.3
1530,159150.94
1531,118441.05
1532,101945.12
1533,136076.88
1534,118971.84
1535,147914.19
1536,112327.74
1537,66500.89
1538,138259.53
1539,198682.1
1540,85921.75
1541,146582.33
1542,139141.16
1543,157145.38
1544,80890.1
1545,99402.72
1546,134278.67
1547,136944.38
1548,130049.945
1549,113953.34
1550,130688.875
1551,110199.7
1552,172012.22
1553,170986.25
1554,111159.12
1555,174992.4
1556,109699.5
1557,108341.305
1558,95231.625
1559,117701.97
1560,113528.92
1561,102219.52
1562,127034.55
1563,129520.35
1564,150150.34
1565,155918.4
1566,231441.66
1567,83560.9
1568,237842.9
1569,113362.234
1570,139583.72
1571,117905.58
1572,134856.98
1573,206990.86
1574,126174.54
1575,204517.72
1576,227787.12
1577,170319.78
1578,136240.1
1579,147665.67
1580,190523.98
1581,169950.44
1582,118077.06
1583,312338.9
1584,237891.88
1585,144643.44
1586,77331.06
1587,112218.984
1588,144083.03
1589,103151.22
1590,128685.73
1591,114424.83
1592,117590.555
1593,129333.805
1594,115843.03
1595,145557.28
1596,214809.53
1597,193410.94
1598,192483.45
1599,162178.34
1600,174569.23
1601,72485.3
1602,128963.67
1603,96918.61
1604,234106.62
1605,221869.03
1606,153852.62
1607,163767.14
1608,200348.28
1609,181914.52
1610,160432.56
1611,144892.31
1612,164737.28
1613,178152.84
1614,122115.49
1615,93709.47
1616,88342.72
1617,88448.93
1618,124388.66
1619,133955.11
1620,135916.28
1621,142136.25
1622,153891.92
1623,282041.94
1624,232554.83
1625,118356.19
1626,152582.89
1627,178369.92
1628,251422.89
1629,173636.6
1630,355071.03
1631,211829.45
1632,263207.12
1633,173289.88
1634,180248.94
1635,167633.44
1636,151819.45
1637,208075.97
1638,194770.88
1639,194994.12
1640,251174.33
1641,188410.11
1642,218528.84
1643,222536.44
1644,223914.61
1645,252215.48
1646,150688.69
1647,150206.94
1648,136016.19
1649,137417.4
1650,108744.45
1651,126826.664
1652,92817.31
1653,93935.34
1654,144031.4
1655,134164.48
1656,138302.44
1657,147243.97
1658,150268.66
1659,109792.266
1660,175242.86
1661,453902.28
1662,446757.38
1663,376973.12
1664,491671.44
1665,322715.72
1666,305741.03
1667,340423.84
1668,322664.53
1669,258182.94
1670,344976.97
1671,284297.6
1672,473291.62
1673,300659.3
1674,250571.9
1675,209088.06
1676,200167.2
1677,213433.6
1678,514245.53
1679,411100.8
1680,320127.75
1681,248928.86
1682,298609.03
1683,196976.66
1684,169697.19
1685,175510.66
1686,167730.94
1687,167441.16
1688,188903.86
1689,197655.78
1690,181021.97
1691,172776.4
1692,228757.66
1693,162222.69
1694,170446.72
1695,165343.56
1696,263934.28
1697,166920.1
1698,338677.53
1699,336978.6
1700,251275.19
1701,288019.78
1702,254190.66
1703,261377.16
1704,264927.72
1705,222960.6
1706,400197.28
1707,212254.44
1708,210372.77
